Nr,cmean,cmin,csum,cmax,cp,mewmin,megmin,iemin,mewmax,megmax,iemax,mew,meg,ie,dbusl,dtraml,dtrainl,dplight,dstation,dparkcar,dparktw,dpedcro,dstopsign,dtrafficarea,droad,droad_sl,dvfpath,gvm_dwv,gvm_msp,gvm_asp,r_width,speedlimit,bicyclecount,carcount,z_qnr_1,z_qnr_2,z_qnr_3,z_qnr_4,z_qnr_5,z_qnr_6,z_qnr_7,z_qnr_8,z_qnr_9,z_qnr_10,z_qnr_11,z_qnr_12,z_qnr_13,z_qnr_14,z_qnr_15,z_qnr_16,z_qnr_17,z_qnr_18,z_qnr_19,z_qnr_20,z_qnr_21,z_qnr_22,z_qnr_23,z_qnr_24,z_qnr_25,z_qnr_26,z_qnr_27,z_qnr_28,z_qnr_29,z_qnr_30,z_qnr_31,z_qnr_32,z_qnr_33,z_knr_1,z_knr_2,z_knr_3,z_knr_4,z_knr_5,z_knr_6,z_knr_7,z_knr_8,z_knr_9,z_knr_10,z_knr_11,trafficarea_1,trafficarea_2,r_width_1,r_width_2,r_width_3,r_width_4,r_width_5,r_width_6,speedlimit_1,speedlimit_2,speedlimit_3,speedlimit_4,speedlimit_5,speedlimit_6,acp
99900044963840,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1755843990632064,-0.5434038174307452,0.22349965320774434,-0.5100185783101062,-0.38863317334664327,0.5959484070447879,-0.4936075463782935,-0.4313289162152031,0.20633481804163534,-0.6117814334277296,-0.601327306746259,-0.6786427089536959,-0.11087544354432294,-0.40874837611902065,0.07341573053756456,-0.30487778147169964,-0.4272439458261202,-0.29371216449807586,0.5588250004432496,0.8249802461915263,0.8732542953389718,0.993047673016427,0.24482383344559105,0.20381657775462778,0.162490317787112,0.6813560737647808,0.06666025376255247,0.35692058230516216,0.009895912985437141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
99900045510756,-1.0,-1.0,-1.0,-1.0,-1.0,-0.04422790846415549,0.24796014139777633,0.46366660973872476,-0.11837573793465628,-0.19156284995782746,0.28531601184958555,-0.058714264118652305,0.1278734255300877,0.41686324996826746,-0.5175273683877917,-0.7384533522116147,-0.008059379283724112,0.3104446275006383,-0.2877266448770986,-0.08894548027785269,-0.3096847579367348,-0.14992148157824964,-0.5614084009481112,-0.40398708016259255,0.6596826400958611,0.7315325297906036,0.14264725541700918,0.5250562403573691,0.5318608976467099,0.5209376982107715,-0.1077088918859711,0.06666025376255247,0.30277938258879894,0.5206863230994742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
99900045511204,0.2366810289973047,-1.0,0.22743182793331906,-0.08809794214912525,1.0,0.28725550830713265,0.15054478320110587,-0.3631790198242967,0.1698173174809596,0.21029403337447397,-0.6594172997273502,0.1642816137155533,0.2966536313838791,-0.5399215704566991,-0.020340452167503686,-0.3254497834052137,-0.6143561869869149,-0.10977743213213306,-0.3868095129429626,-0.0715999005261766,-0.5297780213518338,-0.4959673603278996,-0.08058485790918114,-1.0,-0.47615883130851866,-0.4153234778944068,0.1665077272345633,-0.3153988632787506,-0.322534376692373,-0.31052280524635584,-0.35855816144480046,0.06666025376255247,0.35692058230516216,0.40128984985570376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
99900045729553,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2746835928634286,-1.0,0.24396293193192706,-0.20910377464939725,-0.13809682173262086,0.37887611050264414,-0.3400088059518088,-0.7175590549382669,0.2690258078283858,-0.0405248006211569,-0.32874375719447013,0.036630257596856536,0.16573199947719902,-0.20365992102470665,-0.20838280461554032,-0.9121801790062132,-0.47308612937980293,-0.40014158194531724,-1.0,0.7025429110655304,0.7693637610480936,0.990238717132689,0.015326962542659861,-0.03539755957946911,-0.08201126660276721,-0.1077088918859711,-0.5375883859834429,0.35692058230516216,-0.025815736015400964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
99900045992823,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,-0.034160533915570675,0.009593963011011397,0.281599827788836,0.3251109759115408,0.40271410344163383,0.4882697472555125,0.13205886736551015,0.3195611945431981,0.4101443453899358,-0.6432615390319233,-0.8523223038999658,0.007526625475886131,-0.21366692604631288,-0.12246584072545451,-0.49733315960774066,-0.6876327010024483,-0.41231626018941914,-0.3897397186028425,-0.13747209817380643,0.48024923625185634,0.5668458983296257,0.94434617732051,-0.09406850260842732,-0.18465323389753885,-0.10848173559246,0.6813560737647808,0.06666025376255247,0.536730247153213,0.4116353900670067,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
99900046102947,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,-0.5390147956554633,-0.06556966983901635,0.5405635443893924,-0.12534088133626797,0.40271410344163383,0.4705087603841767,-0.44456294272300423,0.5495040184820061,0.552251229944425,0.13513149779680494,0.24659084741356185,-0.3491050728295137,0.21863902094378557,-0.3412717102076353,-0.0319005462635891,-0.2280288620147876,-0.5406819701360042,-0.4893883863268994,0.15446378673655947,0.04320712666335791,0.13527346626091957,0.6207823874036902,0.134555164593001,0.130632882204264,0.16920124956698215,0.3193470482092103,0.06666025376255247,1.0,0.4755637455186201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
99900046134423,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.07127786588648322,-1.0,0.21051664784350127,0.28694206892825147,0.2805825720974172,0.5106079535479051,0.28449726217723026,-0.3869249936620219,0.31884147932314144,-0.5810643354014264,-0.7832439149678281,0.011010854566593273,0.27063780191882103,-0.029422041552055925,-0.5342472672053585,0.13421695502557002,-0.6269979080256263,-0.023032594738573574,-0.41177010766459066,0.4170630751527419,0.506816465201965,0.9397446700024281,-0.29629972428697376,-0.322534376692373,-0.3375208566202228,-0.35855816144480046,-0.33006830864058145,0.35692058230516216,-0.15990261009824464,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
99900046213290,0.898034748682824,1.0,0.8567201748726453,0.5861633368350411,1.0,0.6689731011466119,0.009593963011011397,-0.5218303365760654,0.2930594923093282,0.3193651131502443,0.534363080144713,0.48369497552736385,0.1736179916912055,-0.23599730076673142,-0.8249447145788316,0.02335422272166382,-0.00750480170229173,-0.04553598814383414,0.15285572011785215,0.4375572367779772,0.3065352582346067,-0.5525969567483237,0.050363107975693155,0.7606642496685218,0.75603971169021,0.7690479629863717,0.26132497003816635,0.6978745460615513,0.757202228436757,0.8031176649721445,0.3193470482092103,0.06666025376255247,0.35692058230516216,0.3168335262996791,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
99900046307908,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.49246299526427123,0.36799446261869084,0.2985414145446797,0.2511087942674413,-0.08349118647928128,0.1519221812773499,0.2748400586111501,0.24637091467679811,0.2934892903173689,-0.7563523327478032,-0.03654066288664809,0.1835415840645194,0.1192410344238848,0.01583726934061616,0.1335369456599254,0.30347573732434135,-0.28921646560517156,-0.4248873098661038,-0.31391499626179026,0.3973927877306025,0.48794519866484676,0.9163107389111829,0.3786707821891957,0.4437969671039242,0.3896538272909926,-0.1077088918859711,0.06666025376255247,0.35692058230516216,-0.0351614828767883,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
99900046367355,0.2366810289973047,-1.0,0.22743182793331906,0.3307748554979697,1.0,0.11007971930025857,0.3481799828564135,0.6318683606726023,0.5839201608474189,0.011487057895810227,0.43252993416314084,0.3946700083716834,0.3336729553156404,0.5927777609533627,-0.3086772995097242,-0.858942041176235,0.25727476952421513,-0.12176930369213201,-0.4164084292300559,0.14436166615913915,-0.31594260907900057,-0.5718364160991609,0.06541675158892794,-0.13202155895246137,0.4620810843653067,0.5496861214231826,0.944462517615124,0.31356709744160743,0.31609992370251955,0.3148110813336083,0.3193470482092103,0.06666025376255247,0.3910138666718611,-0.009295631802355653,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
99900046452204,-1.0,-1.0,-1.0,-1.0,-1.0,0.17789059454649633,0.5449329054365651,-0.16722195079025726,-0.013832881323539901,0.4983579425393768,0.14695753487121677,-0.017033643779371943,0.5517326661719997,-0.020860984789351958,-0.5276413103899921,-0.7427184655525003,-0.25188285155622814,0.15856567004166677,-0.2646295584792556,-0.43410254993613473,-0.3683789725709726,-0.24219237509628358,-0.10061921532793906,-0.24008720099370148,-0.04825327625030623,0.040830981281917034,0.9834988930568571,-0.20349887037153366,-0.3530490596962637,-0.2629246954851119,1.0000000000000002,-1.0,0.35692058230516216,-0.5673559303749562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
99900046477605,0.763398639963403,-1.0,0.7047307790685228,0.5861633368350411,1.0,-0.12353446036395066,-0.3495365741086863,-0.08434867968732371,0.294473669881661,0.30379214770344887,-0.6366954500887392,0.10717434837778855,0.007210583047598966,-0.34235682858788385,0.30765834011053983,-0.7214937594231151,0.06044585957844413,0.13735658766371056,-0.0005373883623449871,-0.6829062756804056,-0.029195543635787035,-0.03481269944829812,-0.9550148163284938,0.6399259921521453,0.6088342718935936,0.6858294017780137,0.9797652101458558,-0.19060423804287116,-0.3530490596962637,-0.22171668320277677,-0.6482500017185739,0.06666025376255247,0.35692058230516216,-0.09734321201618076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
99900046477945,-1.0,-1.0,-1.0,-1.0,-1.0,0.1756704527455089,0.17533386684337743,0.41039650223248203,0.21541297486768446,0.10763602480193488,0.05660010565217079,0.05394748626558726,0.24487932038269122,0.29120491931661613,-0.7831751022063226,0.19825036460434842,-0.46227318964178055,0.298681141975684,-0.8888132236890914,-0.2293744533597485,-0.043998875145086006,-0.8157662102494665,-0.05768418130222068,-0.14158374520310701,0.01036340073222708,0.10149581313867456,0.733954776746629,0.4183416276203972,0.4233308457976693,0.37728319046431336,0.3193470482092103,-0.33006830864058145,0.35692058230516216,0.29371660214525747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
99900046483812,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,-0.26587290361389165,-0.4196795410812587,0.2631290373600017,-0.03712706443187461,0.19819876338020476,0.40888078694352825,-0.26399766774755223,-0.05936636495470453,0.3415974428864686,0.11063787200377057,0.25754793841136725,-0.3451886531211617,-0.019123119739967262,-0.37772115735927847,-0.1355471490781558,-0.33639622581656303,-0.5353877385441019,-0.4745549761002008,0.249426605435067,0.7196381774112814,0.7842629455309077,0.15308061333133471,0.3103735162248332,0.2605165802829058,0.2902767066864283,-0.35855816144480046,0.06666025376255247,0.7141281629006441,0.37983620946698343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
99900046484531,0.2366810289973047,-1.0,0.22743182793331906,-0.08809794214912525,1.0,0.7257612626369389,-0.010366800125459208,0.31935588861001984,0.4740543199273668,0.6593477792683458,0.29545260305652254,0.597592246264991,0.2583084637891304,0.32923147109168915,0.46821144919815627,0.14253028432218778,0.02549400876321574,0.03987141979685234,0.10977679483325392,0.08211043271624913,0.1997617151174656,-0.3350358142226704,0.33715667794762266,-1.0,-0.3833647385842305,-0.3145830508982075,-0.3133809622384488,0.09883642943916922,0.12256109959023628,0.23105455087994692,1.0000000000000002,-0.33006830864058145,0.35692058230516216,0.5564841619531575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
99900046494411,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.29282896629925625,0.22043319746165418,0.0832750019039994,-0.06432638834166701,0.6593477792683446,0.07567171830939728,0.1149205923939923,0.47516096314724765,0.045138515521315155,-0.7817711719685648,-0.9365225006424114,0.03412316107448882,-0.5779971079575837,-0.11608750900652928,-0.298269202091258,-0.4482973462492674,-0.5758080043651266,0.041148774189964835,-0.005347714891883404,0.3008736169231141,0.39413613513635937,0.8999828309084676,-0.2169902729398266,-0.18465323389753885,-0.3375208566202228,0.3193470482092103,0.06666025376255247,0.35692058230516216,0.29371660214525747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
99900046541031,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.7070881093023331,-0.08404056883630842,-0.7180665507565723,0.5298624418274599,-0.1891989149713365,-0.871936323520517,0.597163558485459,-0.04999291840677823,-0.7593272263756841,-0.881468529549657,-0.6511677978066653,-0.5362141605518435,0.2518991398305472,-0.5753264516318748,-0.06623107683928794,-0.4037268541333772,0.05176544650029982,0.09568959552234271,0.6215125107553854,0.12042741690758502,0.21403353928209612,0.809851862520345,-0.581493209922847,-0.5990115268945597,-0.6075698333992788,1.0000000000000002,-1.0,0.2796678354423064,0.4558498783794795,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
99900046662300,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5360154056419806,-1.0,0.4372778558722976,0.33803556753052794,-0.19156284995782746,0.4505969922011333,-0.04020915249574492,-0.434004069964026,0.42007892438498384,-0.10028705513839112,-0.3632633552129276,0.05279602770137236,0.31599854265427385,-0.13767530759326246,-0.7704407066497312,-0.14072613429068873,-0.045287981149119305,-0.2855430930629133,-1.0,0.34454823663637435,0.43682294936676136,0.9165824310032789,-0.523551547897329,-0.5990115268945597,-0.6075698333992788,1.0000000000000002,-0.33006830864058145,0.35692058230516216,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
99900046662457,-1.0,-1.0,-1.0,-1.0,-1.0,-0.01948974964665414,-0.3495365741086863,0.14440660167608002,-0.28820222733753076,-0.1336269372491967,0.006450804384957154,-0.20702963436231386,-0.11277083538407356,0.0776738650011618,-0.5247294517404009,-0.7288413532665559,-0.12056501556175411,0.2434275785951629,-0.5395463752529024,-0.2399646436907009,-0.37022893385974703,-0.5292248835945746,-0.4611869389095975,-0.3435759380350679,0.6663795827199293,0.7374848399425195,0.9865973825936991,0.3198866599637875,0.21049061695129345,0.26964251614000867,1.0000000000000002,0.06666025376255247,0.3799647746779276,0.5014048707382932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
99900046700816,0.2366810289973047,-1.0,0.22743182793331906,-0.08809794214912525,1.0,-0.13448227290324216,-1.0,0.35737554405948346,-0.09589587718489628,-0.7613318358663634,0.3264481770687064,-0.22711221367969175,-0.8683526323662187,0.2793112958907198,-0.6544840798400804,-0.8285006370668125,-0.48844576366946685,0.10977284712307615,-0.3519775293445294,0.0017997754230112406,-0.20908183741892128,-0.14600879719671644,-0.15303153465764457,0.134168610945334,0.4721867300811884,0.5592431492952381,0.9542257265180307,0.13940099160159597,0.130632882204264,0.08040301152186966,1.0000000000000002,0.06666025376255247,-0.16241344543584563,-0.15379453691130834,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
99900046835636,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3795429533467635,-0.4196795410812587,0.17775848990691484,-0.12178372108166002,-0.047600035574688726,-0.02301051455573727,-0.3836092156625174,-0.36960564308872257,0.16727543515653603,-0.8915931255000348,-0.9925405462989361,0.1870405656257236,0.05123972941203046,-0.3564330176639988,0.03870459606411497,-0.13177160152076123,0.07362151404307693,-0.5507253671528727,0.5960790259463787,0.17863654947029317,0.2727495573380927,0.5787241410848496,-0.523551547897329,-0.5990115268945597,-0.6075698333992788,-0.1077088918859711,-1.0,0.35692058230516216,0.002140233497571628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
99900046980125,0.2366810289973047,-1.0,0.22743182793331906,0.3307748554979697,1.0,0.4017649749475763,0.49829286119131866,0.34168590981740055,0.19999518046044584,0.37830034534899193,0.33933856582883765,0.24195086068949961,0.4750760311703236,0.3621818850791316,-0.6552889846885865,-0.46489076319869954,0.42174305777664983,0.2875425103900868,0.03654571515934482,0.06999702262153645,0.1998863661868301,0.008330294681073935,0.11847397062594373,-0.4105377723466217,0.9005604576026374,0.4440068306705155,-0.5261564854789097,0.08799131066471964,-0.11717268376533498,0.00787721506668368,-0.1077088918859711,0.06666025376255247,0.35692058230516216,-0.004762889519015989,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
99900047105191,-1.0,-1.0,-1.0,-1.0,-1.0,-0.20824477217748696,-0.12823987683613086,0.12440291983362306,0.294473669881661,0.05392317675534318,0.4416031741602942,0.09260363192384757,-0.15126798653933266,0.293470502397714,-0.47583495318494007,0.08211727285847395,-0.39027515481771907,0.2348862505926514,-0.019712050190004216,-0.21486668859379615,-0.2984144241504021,-0.16483370631901,-0.35780257671082366,0.4526724409952868,0.7248525265353114,0.7887842377720921,0.9920431579443554,-0.3153988632787506,-0.4260977820615367,-0.3375208566202228,1.0000000000000002,0.06666025376255247,0.35692058230516216,0.532832408689067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
99900047332047,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.14492174511270672,-0.4196795410812587,0.46948619866473923,0.34508165438126287,0.6738444887230752,0.24515891383134125,0.3265776339194066,0.5156591679252603,0.3945342537929833,-0.7604353871049242,-0.980269468665859,-0.0005816105180569894,-0.12395181190999971,-0.7634251107105864,0.30253684815067494,0.1765426806699623,-0.25359509934836155,-0.11893629471848655,0.27606979011414867,0.9685275492566434,0.855090158946583,0.9725190280368545,0.11454912122160842,0.27791667580452345,0.162490317787112,-0.1077088918859711,0.06666025376255247,0.3409487994993539,0.7860254951797014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
99900047352250,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5077763642622279,-0.5067837033923033,0.13155275946293513,0.14917137542360726,0.3067866414962426,0.2145093032061461,-0.3917031111178021,-0.21808501594010452,0.16608981345719043,-0.5400584122044142,-0.6486359275069487,-0.01878676083852837,-0.15459209928214374,-0.022070865889447122,-0.17318100511494444,-0.65288777425425,-0.40442192862715276,0.2092579054217133,-1.0,0.7191262052615448,0.7838198199485394,0.018605692396744478,-0.005366402181329298,0.12256109959023628,-0.16842048557778921,0.3193470482092103,-0.33006830864058145,0.35692058230516216,0.23541361206857647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
99900047391480,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.8340539828807892,-0.5364635026422531,0.010712676412867952,0.41430029609214075,0.2583161798017903,0.37921027869951285,0.6096353951723938,-0.2854275964048748,0.11391046367882222,-0.8963620753313207,-0.7214972093701157,-0.08673616990922423,0.14330672662005706,-0.5753182475089711,-0.3034723677040944,-0.06750547913826191,-0.6262351214115124,0.2115634395422319,-0.31535234816419033,0.7119481950589033,0.5691052078960852,0.9566598185717456,0.3703180887614821,0.331542661756465,0.3559186449693478,-0.6482500017185739,0.06666025376255247,0.35692058230516216,0.2693757420365489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
99900047436782,-0.19255975092869101,-1.0,-0.14489505445660705,-0.08809794214912525,1.0,0.4220335192738889,-0.4196795410812587,-0.13299772207001956,0.06712781091658872,-0.13809682173262017,0.6934892279928856,0.14980572019797092,-0.2954819825138195,0.13158379383217236,-0.7117427269058578,-0.699193046117643,-0.06306390058370512,0.16282290930762697,-0.7497435476082273,-0.06889676861908348,0.029855859315697272,-0.5100571189087766,-0.5450187650122121,0.3035499080710852,0.5430038975421378,0.6254828609087519,0.9691274756698829,0.36750015028152777,0.4556826020391791,0.42495809655350125,1.0000000000000002,0.06666025376255247,-0.2525888242698239,0.3389881097743659,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
99900047579522,0.2366810289973047,-1.0,0.22743182793331906,-0.08809794214912525,1.0,0.3928487790703275,0.07906747450315948,-0.5519522731741775,0.30957751689627494,-0.05187562979447059,0.19923695923973028,0.46680527679143347,0.06701762121648248,-0.24393328235983042,-0.5575249007746252,-0.7591460649379878,-0.7094689593014896,-0.03232551549447579,-0.08450168105526866,-0.07193780128365679,-0.10914245211919171,-0.40413039280160656,-0.5936040727144881,0.02825058654075352,0.034084505694314926,0.12591495043389678,0.7519532653059882,-0.3153988632787506,-0.2695310005167949,-0.2629246954851119,1.0000000000000002,-1.0,0.23577610027624624,0.5941967042966441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
